,velocity,inp_acc
count,36000.0,36000.0
mean,52.72713902330513,246.0625
std,28.59784428556772,185.30670506771733
min,0.0,0.0
25%,32.2633775728514,98.4375
50%,55.700208108312154,202.5
75%,74.53554068126695,371.25
max,102.06207261596089,675.0
