series,index,velocity,inp_acc,inp_acc_norm,velocity_norm
14,2258,88.3871991138722,506.25,0.5789473684210527,0.7770235420066569
14,2259,88.3872230646916,506.25,0.5789473684210527,0.7770240235375838
14,2260,88.3872465160587,506.25,0.5789473684210527,0.7770244950270284
14,2261,88.38726947838856,506.25,0.5789473684210527,0.7770249566843856
14,2262,88.38729196187909,506.25,0.5789473684210527,0.777025408714684
14,2263,88.38731397651554,506.25,0.5789473684210527,0.7770258513186767
14,2264,88.38733553207491,506.25,0.5789473684210527,0.7770262846929306
14,2265,88.38735663813036,506.25,0.5789473684210527,0.7770267090299134
14,2266,88.3873773040554,506.25,0.5789473684210527,0.7770271245180804
14,2267,88.3873975390281,506.25,0.5789473684210527,0.7770275313419555
14,2268,88.38741735203513,506.25,0.5789473684210527,0.777027929682216
14,2269,88.38743675187578,506.25,0.5789473684210527,0.7770283197157717
14,2270,88.38745574716582,506.25,0.5789473684210527,0.7770287016158424
14,2271,88.38747434634139,506.25,0.5789473684210527,0.7770290755520366
14,2272,88.38749255766272,506.25,0.5789473684210527,0.7770294416904262
14,2273,88.38751038921777,506.25,0.5789473684210527,0.7770298001936191
14,2274,88.38752784892581,506.25,0.5789473684210527,0.7770301512208329
14,2275,88.38754494454106,506.25,0.5789473684210527,0.7770304949279654
14,2276,88.38756168365596,506.25,0.5789473684210527,0.7770308314676628
14,2277,88.38757807370467,506.25,0.5789473684210527,0.777031160989389
14,2278,88.38759412196632,506.25,0.5789473684210527,0.7770314836394903
14,2279,88.38760983556826,506.25,0.5789473684210527,0.7770317995612623
14,2280,88.38762522148917,506.25,0.5789473684210527,0.7770321088950116
14,2281,88.38764028656225,506.25,0.5789473684210527,0.7770324117781189
14,2282,88.38765503747821,506.25,0.5789473684210527,0.7770327083451014
14,2283,88.38766948078822,506.25,0.5789473684210527,0.7770329987276701
14,2284,88.38768362290685,506.25,0.5789473684210527,0.7770332830547897
14,2285,88.38769747011489,506.25,0.5789473684210527,0.7770335614527355
14,2286,88.38771102856217,506.25,0.5789473684210527,0.7770338340451499
14,2287,88.38772430427028,506.25,0.5789473684210527,0.7770341009530968
14,2288,88.38773730313525,506.25,0.5789473684210527,0.7770343622951159
14,2289,88.38775003093014,506.25,0.5789473684210527,0.7770346181872743
14,2290,88.38776249330765,506.25,0.5789473684210527,0.7770348687432196
14,2291,88.38777469580258,506.25,0.5789473684210527,0.7770351140742286
14,2292,88.38778664383432,506.25,0.5789473684210527,0.7770353542892587
14,2293,88.38779834270925,506.25,0.5789473684210527,0.7770355894949941
14,2294,88.38780979762309,506.25,0.5789473684210527,0.7770358197958949
14,2295,88.38782101366326,506.25,0.5789473684210527,0.7770360452942433
14,2296,88.38783199581101,506.25,0.5789473684210527,0.7770362660901877
14,2297,88.38784274894381,506.25,0.5789473684210527,0.7770364822817892
14,2298,88.38785327783732,506.25,0.5789473684210527,0.7770366939650628
14,2299,88.38786358716769,506.25,0.5789473684210527,0.7770369012340219
14,2300,88.3878736815135,506.25,0.5789473684210527,0.7770371041807191
14,2301,88.38788356535792,506.25,0.5789473684210527,0.7770373028952888
14,2302,88.3878932430906,506.25,0.5789473684210527,0.7770374974659844
14,2303,88.38790271900962,506.25,0.5789473684210527,0.7770376879792185
14,2304,88.38791199732349,506.25,0.5789473684210527,0.7770378745196038
14,2305,88.38792108215291,506.25,0.5789473684210527,0.7770380571699869
14,2306,88.38792997753268,506.25,0.5789473684210527,0.7770382360114867
14,2307,88.38793868741345,506.25,0.5789473684210527,0.7770384111235316
14,2308,88.38794721566347,506.25,0.5789473684210527,0.7770385825838926
14,2309,88.38795556607037,506.25,0.5789473684210527,0.7770387504687197
14,2310,88.38796374234276,506.25,0.5789473684210527,0.7770389148525747
14,2311,88.38797174811192,506.25,0.5789473684210527,0.7770390758084644
14,2312,88.38797958693344,506.25,0.5789473684210527,0.7770392334078737
14,2313,88.38798726228869,506.25,0.5789473684210527,0.7770393877207957
14,2314,88.3879947775865,506.25,0.5789473684210527,0.7770395388157652
14,2315,88.38800213616462,506.25,0.5789473684210527,0.7770396867598868
14,2316,88.38800934129115,506.25,0.5789473684210527,0.7770398316188665
14,2317,88.38801639616611,506.25,0.5789473684210527,0.7770399734570399
14,2318,88.38802330392272,506.25,0.5789473684210527,0.7770401123374011
14,2319,88.3880300676289,506.25,0.5789473684210527,0.7770402483216299
14,2320,88.38803669028859,506.25,0.5789473684210527,0.7770403814701208
14,2321,88.38804317484308,506.25,0.5789473684210527,0.7770405118420083
14,2322,88.38804952417232,506.25,0.5789473684210527,0.7770406394951939
14,2323,88.3880557410962,506.25,0.5789473684210527,0.7770407644863715
14,2324,88.38806182837584,506.25,0.5789473684210527,0.7770408868710532
14,2325,88.38806778871475,506.25,0.5789473684210527,0.7770410067035931
14,2326,88.38807362476008,506.25,0.5789473684210527,0.7770411240372121
14,2327,88.38807933910377,506.25,0.5789473684210527,0.7770412389240211
14,2328,88.38808493428371,506.25,0.5789473684210527,0.7770413514150445
14,2329,88.38809041278488,506.25,0.5789473684210527,0.7770414615602423
14,2330,88.38809577704039,506.25,0.5789473684210527,0.7770415694085329
14,2331,88.38810102943269,506.25,0.5789473684210527,0.7770416750078151
14,2332,88.38810617229448,506.25,0.5789473684210527,0.7770417784049877
14,2333,88.38811120790986,506.25,0.5789473684210527,0.7770418796459722
14,2334,88.38811613851527,506.25,0.5789473684210527,0.777041978775733
14,2335,88.3881209663005,506.25,0.5789473684210527,0.7770420758382952
14,2336,88.38812569340975,506.25,0.5789473684210527,0.7770421708767679
14,2337,88.38813032194246,506.25,0.5789473684210527,0.7770422639333605
14,2338,88.38813485395424,506.25,0.5789473684210527,0.7770423550494012
14,2339,88.38813929145792,506.25,0.5789473684210527,0.7770424442653576
14,2340,88.38814363642426,506.25,0.5789473684210527,0.777042531620852
14,2341,88.38814789078306,506.25,0.5789473684210527,0.7770426171546829
14,2342,88.38815205642375,506.25,0.5789473684210527,0.7770427009048375
14,2343,88.38815613519641,506.25,0.5789473684210527,0.7770427829085111
14,2344,88.38816012891252,506.25,0.5789473684210527,0.777042863202124
14,2345,88.38816403934582,506.25,0.5789473684210527,0.7770429418213372
14,2346,88.38816786823304,506.25,0.5789473684210527,0.7770430188010671
14,2347,88.38817161727471,506.25,0.5789473684210527,0.7770430941755033
