,velocity,inp_acc
count,3000.0,3000.0
mean,49.080213049884165,200.0
std,22.06080111415135,100.01667083449108
min,0.0,0.0
25%,38.13683274824438,100.0
50%,55.54862974891755,200.0
75%,68.03198157603939,300.0
max,68.04138169199248,300.0
