series,index,d_theta,theta,force1
0,0,0.0,-2.0,0.0
0,1,-0.019996737872721264,-1.9990191174918643,0.0
0,2,-0.039973862635022464,-1.996077812840569,0.0
0,3,-0.05991178810889768,-1.9911801423119093,0.0
0,4,-0.07979098212967616,-1.9843328486696779,0.0
0,5,-0.09959199328888883,-1.9755453347977567,0.0
0,6,-0.11929547735924663,-1.9648296271051597,0.0
0,7,-0.13888222330720965,-1.9522003290393253,0.0
0,8,-0.1583331787917811,-1.9376745651223855,0.0
0,9,-0.17762947505609916,-1.9212719160070697,0.0
0,10,-0.19675245113023068,-1.9030143451161459,0.0
0,11,-0.21568367726021437,-1.8829261175033127,0.0
0,12,-0.23440497748830025,-1.8610337116318234,0.0
0,13,-0.2528984513195665,-1.8373657248130475,0.0
0,14,-0.2711464944157947,-1.8119527730893767,0.0
0,15,-0.28913181808559624,-1.784827386676587,0.0
0,16,-0.3068374670234049,-1.756023902880271,0.0
0,17,-0.32424684008732557,-1.7255783482784461,0.0
0,18,-0.34134370374763057,-1.6935283298783705,0.0
0,19,-0.35811220751234907,-1.6599129197439724,0.0
0,20,-0.3745368984598575,-1.6247725382215048,0.0
0,21,-0.3906027341431834,-1.5881488384503986,0.0
0,22,-0.40629509434258304,-1.5500845919816642,0.0
0,23,-0.42159979168584405,-1.510623576239038,0.0
0,24,-0.436503059052984,-1.4698105347123824,0.0
0,25,-0.4509916254100777,-1.4276908638291985,0.0
0,26,-0.4650526546297675,-1.384310712293368,0.0
0,27,-0.4786737750954094,-1.3397168164621203,0.0
0,28,-0.4918430851044486,-1.2939564066254676,0.0
0,29,-0.5045491573594557,-1.2470771185775718,0.0
0,30,-0.5167810425771373,-1.199126910818495,0.0
0,31,-0.5285282724089839,-1.1501539877781717,0.0
0,32,-0.5397808614576585,-1.1002067291446296,0.0
0,33,-0.5505293087311987,-1.0493336256289894,0.0
0,34,-0.5607645984578581,-0.9975832212159083,0.0
0,35,-0.5704782003573811,-0.9450040619617527,0.0
0,36,-0.5796620694332106,-0.8916446513468377,0.0
0,37,-0.5883086453501758,-0.8375534121343894,0.0
0,38,-0.5964108514623327,-0.7827786546328258,0.0
0,39,-0.6039620935568353,-0.7273685511891864,0.0
0,40,-0.6109562583712213,-0.671371116743022,0.0
0,41,-0.6173877119461945,-0.614834195181541,0.0
0,42,-0.6232512978704704,-0.5578054512137779,0.0
0,43,-0.628542335469288,-0.5003323674677217,0.0
0,44,-0.6332566179902258,-0.44246224643031823,0.0
