,d_theta,theta,force1
count,24000.0,24000.0,24000.0
mean,-6.901013986356197e-05,0.002310696148452803,0.0
std,0.2676377974619584,0.8093816230496428,0.0
min,-0.6498579821999478,-2.0,0.0
25%,-0.1711030285535124,-0.5083096063053472,0.0
50%,0.0,4.587679255224556e-16,0.0
75%,0.17085317803049238,0.51333637701021,0.0
max,0.6498630365072816,1.9999999795302428,0.0
