series,index,d_theta,theta,force1,d_theta_norm,theta_norm,force1_norm
117,0,0.0,0.3400000000000021,0.0,0.4999980556183746,0.5850000029937026,
117,1,0.0033994315209817,0.339833245739471,0.0,0.5026135642329563,0.5849583144283564,
117,2,0.0067955284291105,0.3393331470619856,0.0,0.5052265072101398,0.5848332897583453,
117,3,0.010184959475057,0.3385002003064127,0.0,0.507834321500408,0.5846250530683864,
117,4,0.0135644000268728,0.3373352320889034,0.0,0.5104344491456291,0.5843338110125187,
117,5,0.0169305353648071,0.3358393983991586,0.0,0.5130243398140762,0.5839598525881687,
117,6,0.0202800639721568,0.3340141833360311,0.0,0.515601453332392,0.5835035488200518,
117,7,0.0236097008068915,0.331861397487335,0.0,0.5181632622027653,0.5829653523551236,
117,8,0.0269161805573935,0.3293831759553067,0.0,0.5207072541078827,0.582345796968946,
117,9,0.0301962608771403,0.3265819760313261,0.0,0.5232309343996804,0.5816454969843671,
117,10,0.0334467255924905,0.3234605745261376,0.0,0.5257318285674021,0.5808651466040766,
117,11,0.0366643878835533,0.3200220647583587,0.0,0.5282074846849458,0.5800055191577327,
117,12,0.0398460934330624,0.3162698532076764,0.0,0.5306554758335955,0.5790674662652617,
117,13,0.0429887235392589,0.3122076558398304,0.0,0.5330734024970591,0.5780519169181032,
117,14,0.0460892000446273,0.3078394915154552,0.0,0.5354588963536194,0.576959875831421,
117,15,0.0491444847227082,0.3031696821212993,0.0,0.5378096198043488,0.5757924234769077,
117,16,0.0521515837606819,0.2982028465165942,0.0,0.5401232694219912,0.5745507145693769,
117,17,0.0551075507834383,0.2929438953767412,0.0,0.542397578277669,0.5732359767776857,
117,18,0.0580094904157462,0.2873980255935389,0.0,0.5446303186816015,0.57184950932479,
117,19,0.0608545604918849,0.2815707150695207,0.0,0.5468193038831861,0.5703926816863302,
117,20,0.0636399750212899,0.2754677168732406,0.0,0.5489623903527544,0.5688669321294522,
117,21,0.0663630069125658,0.2690950531907552,0.0,0.5510574798774159,0.5672737662006778,
117,22,0.0690209906278513,0.2624590090385354,0.0,0.5531025216033159,0.5656147551541331,
117,23,0.0716113247772327,0.2555661257239802,0.0,0.5550955140317663,0.5638915343166757,
117,24,0.0741314746464214,0.2484231940711668,0.0,0.5570345069640307,0.5621058013943341,
117,25,0.0765789746562434,0.2410372474194585,0.0,0.5589176033936448,0.5602593147219578,
117,26,0.0789514307498115,0.2334155544100829,0.0,0.5607429613430975,0.5583538914598629,
117,27,0.0812465227088052,0.225565611560636,0.0,0.562508795645967,0.5563914057374583,
117,28,0.0834620063926672,0.2174951356490986,0.0,0.564213379669749,0.5543737867492489,
117,29,0.0855957159025477,0.2092120559059731,0.0,0.5658550469807869,0.5523030168028705,
117,30,0.087645565665282,0.2007245060330783,0.0,0.5674321929476754,0.5501811293237882,
117,31,0.0896095524355557,0.1920408160608396,0.0,0.5689432762817183,0.548010206819619,
117,32,0.0914857572197435,0.1831695040330771,0.0,0.5703868205171219,0.5457923788013287,
117,33,0.0932723471119128,0.1741192675594103,0.0,0.5717614154236091,0.5435298196713335,
117,34,0.0949675770468906,0.1648989752201773,0.0,0.5730657183552214,0.5412247465747292,
117,35,0.096569791466222,0.1555176578436264,0.0,0.5742984555321002,0.5388794172185893,
117,36,0.0980774258957874,0.1459844996652479,0.0,0.5754584232543003,0.5364961276617983,
117,37,0.0994890049617535,0.1363088499550218,0.0,0.5765444863752692,0.5340772152218631,
117,38,0.1008031545846904,0.1265001530635974,0.0,0.5775555876839517,0.5316250409864582,
117,39,0.1020185921337731,0.1165679992486123,0.0,0.5784907403294721,0.5291420025200052,
117,40,0.1031341314738968,0.1065220957615124,0.0,0.5793490317043654,0.5266305266353779,
117,41,0.1041486840879754,0.0963722575343759,0.0,0.580129624308067,0.5240930670656084,
117,42,0.1050612601071862,0.0861283977860203,0.0,0.5808317565395813,0.5215321021154139,
117,43,0.1058709692499474,0.0758005185271156,0.0,0.5814547434199248,0.5189501322874748,
117,44,0.1065770216594927,0.0653987010653277,0.0,0.5819979772365537,0.5163496779087201,
117,45,0.1071787286491982,0.0549330964329136,0.0,0.5824609281168157,0.5137332767372274,
117,46,0.1076755033517955,0.0444139157708185,0.0,0.5828431445274509,0.5111034815582457,
117,47,0.1080668612720177,0.0338514206796756,0.0,0.5831442536997957,0.5084628577719467,
117,48,0.108352420742981,0.0232559135304457,0.0,0.5833639619809216,0.5058139809710838,
117,49,0.1085319032852043,0.0126377277578489,0.0,0.5835020551098623,0.5031594345143501,
117,50,0.1086051338686455,0.0020072181305,0.0,0.5835583984192242,0.5005018070939127,
117,51,0.1085720410773351,-0.0086252489984096,0.0,0.5835329369618544,0.4978436902980825,
117,52,0.1084326571812132,-0.0192493051631042,0.0,0.583425695566112,0.49518767624331683,
117,53,0.1081871181059672,-0.0298545900106273,0.0,0.5832367788126611,0.49253635501786813,
117,54,0.1078356633004273,-0.0404307609082612,0.0,0.5829663709324459,0.4898923122799289,
117,55,0.1073786355112449,-0.0509675026137967,0.0,0.5826147356333284,0.4872581268400647,
117,56,0.1068164804603258,-0.0614545369953737,0.0,0.5821822158519077,0.48463636823125383,
117,57,0.1061497464252206,-0.0718816327262372,0.0,0.5816692334306737,0.4820295942851979,
117,58,0.1053790837228906,-0.0822386149480213,0.0,0.5810762887208185,0.4794403487165016,
117,59,0.1045052440966374,-0.0925153749039393,0.0,0.5804039601105431,0.4768711587143744,
117,60,0.1035290800066851,-0.102701879522332,0.0,0.5796529034792337,0.474324532546744,
