,name,lr,arch,nodes,val_loss,best_epoch
0,pend_simple_var_alpha_2_lr0.001archOneLayersnodes32,0.001,OneLayers,32,0.00034574538585729897,498
1,pend_simple_var_alpha_2_lr0.001archTwoLayersnodes32,0.001,TwoLayers,32,0.0003169066912960261,485
2,pend_simple_var_alpha_2_lr0.001archThreeLayersnodes32,0.001,ThreeLayers,32,0.005638246890157461,500
3,pend_simple_var_alpha_2_lr0.001archFourLayersnodes32,0.001,FourLayers,32,0.01711231656372547,484
4,pend_simple_var_alpha_2_lr0.001archFiveLayersnodes32,0.001,FiveLayers,32,0.04108167812228203,177
